covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
CTSE,-0.04802891591384995,0.9531062267414983,0.03697193343159322,-0.12049257387858503,0.024434742050885132,0.8864836704563039,1.02473571677392,0.0,-1.2990642213157382,0.19392189043832936,2.3664524268512928
TCAM1P,0.009733106470620638,1.00978062720105,0.04336347159484384,-0.07525773609989894,0.09472394904114023,0.9275044041520573,1.0993553351401457,0.0,0.2244540419078891,0.8224040238277928,0.28208077157371286
POU4F1,-0.013631308812242605,0.9864611767676317,0.04680710988640923,-0.10537155841001339,0.07810894078552819,0.8999900615779055,1.081240443437437,0.0,-0.2912230395194844,0.7708807428732156,0.37542040591841713
IGF2BP3,0.14702845151117558,1.1583869204194213,0.050861212942968366,0.04734230593293513,0.246714597089416,1.048480848874795,1.279813798066835,0.0,2.8907775297463187,0.003842900527201101,8.02358865168344
YBX2,0.07549487679851091,1.0784177027527182,0.04449682262355194,-0.011717292970117962,0.1627070465671398,0.988351087169864,1.1766919232523418,0.0,1.6966352280297845,0.08976564532353154,3.477692780492944
SMC1B,0.0638369397084127,1.0659185755963174,0.04028355139521916,-0.015117370195585095,0.1427912496124105,0.984996323607107,1.1534889852588728,0.0,1.5846899664359992,0.11303679266427233,3.145135658931207
ZYG11A,0.02897683279167319,1.029400745857348,0.05304409229544759,-0.07498767770002265,0.13294134328336904,0.9277549183325277,1.1421829996614006,0.0,0.5462782288794124,0.5848746992021336,0.7738005132717727
MMP28,0.030088670499832385,1.0305459089231692,0.05371403999919634,-0.07518891336273632,0.1353662543624011,0.927568239740526,1.1449560527162586,0.0,0.5601639813404943,0.5753675925427999,0.7974441310129299
SP8,0.014050542415203994,1.014149715219159,0.04350621248927417,-0.07122006716752008,0.09932115199792807,0.9312569305008283,1.1044209295988552,0.0,0.3229548519919529,0.746729434265683,0.42134249518220485
ATP6V0A4,-0.01309461577273428,0.9869907457102194,0.04749716205828855,-0.10618734277484218,0.07999811122937361,0.8992561631493017,1.0832850215960974,0.0,-0.275692593099869,0.782784185095346,0.3533134859780827
ROS1,-0.0351403439769407,0.9654699088623392,0.050022653149721805,-0.1331829425615345,0.06290225460765313,0.8753049469314178,1.0649227428525985,0.0,-0.7024886079465404,0.4823745037117778,1.0517744404285296
C12orf56,0.06865184407077644,1.0710632472075692,0.04143640773760637,-0.01256202274364887,0.14986571088520176,0.9875165501086061,1.1616782315118235,0.0,1.6568000900442488,0.09755989881634182,3.357567927922276
