covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
IGF2BP3,0.09281039418321285,1.0972536698652025,0.06894647898586928,-0.04232222148993861,0.22794300985636431,0.9585608618959223,1.2560137429889953,0.0,1.3461223190561264,0.17826307182379147,2.4879202231893025
PRAME,0.023811555844032356,1.0240973145519476,0.04954652785147333,-0.07329785430386607,0.12092096599193078,0.9293239856493833,1.1285357161417269,0.0,0.48058979865173923,0.6308080672039084,0.6647269844725544
LOC440905,0.015009340592034045,1.0151225464170068,0.06463677504055965,-0.11167641056428035,0.14169509174834843,0.8943336075899415,1.1522252719777337,0.0,0.23221054241359762,0.8163744898720598,0.29269699324931514
IGF2BP1,0.024370867005714003,1.0246702638241498,0.05332349228885586,-0.08014125741034278,0.1288829914217708,0.9229859585714393,1.1375570124495957,0.0,0.4570380888351399,0.6476436686838181,0.6267278293371127
SFTPD,-0.007926442738385804,0.9921048886719948,0.07470131755103052,-0.15433833473609546,0.13848544925932385,0.8569820251690663,1.1485329694431958,0.0,-0.10610847302620913,0.915496288598022,0.1273740575071112
SFTPA2,0.019787313409913472,1.0199843799556105,0.057590944912695397,-0.09308886445459974,0.1326634912744267,0.9111125311803934,1.1418656859055387,0.0,0.34358376025796966,0.7311593394375177,0.4517422520938385
CLDN18,-0.02217613803231336,0.9780679449149466,0.06007143533621601,-0.1399139877909235,0.09556171172629678,0.8694330140370032,1.1002767199146561,0.0,-0.3691627794174539,0.7120063971972469,0.49003789138770826
COL17A1,0.09061734011908329,1.094849969930459,0.04685629115414758,-0.001219302992168686,0.18245398323033526,0.9987814400556938,1.200158922246178,0.0,1.9339418013468213,0.05312028383393808,4.234593334416677
LY6K,0.04449278348225064,1.045497431832458,0.04994262187376827,-0.053392956683837485,0.14237852364833878,0.9480074134300139,1.1530130086360975,0.0,0.890878007860855,0.3729946197505217,1.4227732743672314
PGC,-0.027187145906883512,0.973179097996306,0.03893711050621761,-0.10350248016112619,0.04912818834735917,0.9016737864428086,1.050354985380264,0.0,-0.6982322404879575,0.4850319669239499,1.043848260983765
