covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
IGF2BP3,0.0901160214667998,1.0943012387751547,0.05326675535310845,-0.014284900598598896,0.1945169435321985,0.98581664449838,1.2147240644269788,0.0,1.6917873234330756,0.09068653146540859,3.462967888534844
CD1A,-0.0272834889947643,0.9730853434333185,0.04568126543904624,-0.11681712402350924,0.06225014603398064,0.8897478918006655,1.064228523979326,0.0,-0.5972577320820809,0.5503353198237052,0.8616171729085632
IGF2BP1,0.05154822620083261,1.0528999624327982,0.03485547192122738,-0.01676724342892017,0.1198636958305854,0.9833725444211003,1.1273431795308118,0.0,1.4789134491517,0.1391634483684349,2.8451477614463987
SFTPD,-0.0502783388363703,0.9509646972532234,0.06580365912533159,-0.17925114077297072,0.07869446310023011,0.8358959454802736,1.081873719225088,0.0,-0.7640660033906121,0.4448279104765789,1.1686807828986052
PEBP4,0.06921693593746732,1.0716686673801747,0.0554663319504665,-0.039495077039990306,0.17792894891492494,0.9612746862957886,1.1947404306150728,0.0,1.247909019822703,0.21206437710265347,2.237425799778619
CLDN18,-0.0015922930245585046,0.998408974001398,0.05785461561498121,-0.1149852559693303,0.1118006699202133,0.891379286333481,1.1182899296064595,0.0,-0.027522316199542547,0.9780431408343935,0.03202999198474381
DMBT1,0.009324990147825424,1.0093686033272,0.040339946978593465,-0.06973985306847313,0.08838983336412398,0.9326364108504482,1.09241389841692,0.0,0.23116019842003666,0.8171903496919333,0.29125592769066727
HP,-0.01768680902224959,0.9824686845067572,0.040287952384058474,-0.0966497447058688,0.061276126661369626,0.9078739381045692,1.0631924494403329,0.0,-0.43900987703828,0.6606543795585906,0.5980323697528547
LY6K,0.05040841133964765,1.051700535100681,0.03683130977239175,-0.021779629317678316,0.12259645199697361,0.9784558342742842,1.1304281468682011,0.0,1.368629344195441,0.17111516656304193,2.5469604580549223
SFTPC,-0.015337120031124649,0.9847798946079767,0.04661731885153303,-0.1067053860359495,0.0760311459737002,0.8987904301992967,1.0789961800205832,0.0,-0.3290004746941872,0.742155329235982,0.430206927898289
PGC,-0.023060818966466962,0.9772030494864313,0.030226904352844898,-0.08230446286217995,0.03618282492924603,0.9209915082944903,1.0368453903488541,0.0,-0.7629236092877146,0.4455089551437542,1.166473663338512
