covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
CTSE,-0.05091417663517132,0.950360230145267,0.032882450813103814,-0.11536259595226461,0.013534242681921972,0.8910429967405328,1.0136262451370435,0.0,-1.5483692783289065,0.12153341346186239,3.040575083043923
TCAM1P,0.012332554405522606,1.01240891393442,0.038866262625525234,-0.063843920554182,0.08850902936522723,0.9381514142570981,1.0925441175458066,0.0,0.31730744281605455,0.7510103304046648,0.4130953422462473
POU4F1,0.008696711733425112,1.0087346379957767,0.04175541337129231,-0.07314239463389001,0.09053581810074023,0.929468469279891,1.094760719189127,0.0,0.2082774670697974,0.835012324526953,0.2601306034052257
IGF2BP3,0.1628517781398066,1.17686224004975,0.045450693908762815,0.07377005500627748,0.25193350127333575,1.0765592276278264,1.2865104831312828,0.0,3.583042724643838,0.0003396150336001907,11.523812056051938
YBX2,-0.002652288828618776,0.9973512253818095,0.0385153245642222,-0.07814093782736514,0.0728363601701276,0.9248340732529428,1.0755545189548215,0.0,-0.06886320857029854,0.9450985042764823,0.08146339071234662
SMC1B,0.07167719539781843,1.0743084963580205,0.03770691440664599,-0.0022269988073422148,0.14558138960297906,0.9977754791147173,1.1567118750713818,0.0,1.9009032302358064,0.05731468892316405,4.1249512615985084
ZYG11A,0.02623445960834528,1.026581612182107,0.046541469554746064,-0.06498514450652443,0.11745406372321499,0.9370813840803911,1.1246299674436855,0.0,0.5636792275647003,0.5729724567621184,0.8034623057267682
MMP28,0.04763891838711707,1.0487918874792241,0.044091708237854604,-0.03877924177592596,0.1340570785501601,0.9619630469617171,1.1434580847116558,0.0,1.0804507307842754,0.2799415154567789,1.8368026397656343
SP8,0.037550502589174674,1.038264430799798,0.037949932779370726,-0.036829998874107976,0.11193100405245732,0.9638399753031517,1.118435690452632,0.0,0.9894748116546551,0.3224308876837893,1.6329381395644549
ATP6V0A4,-0.055023835003881943,0.9464625887451587,0.038851597505569886,-0.1311715668566451,0.021123896848881232,0.8770672858046941,1.0213485856701567,0.0,-1.416256693074038,0.15670036243583127,2.673919578230847
ROS1,-0.05597457327541055,0.9455631781592498,0.042218973206264825,-0.13872224022395113,0.026773093673130043,0.8704697763729166,1.027134712954796,0.0,-1.3258155995869778,0.1849007845873465,2.435176748361195
C12orf56,0.0139168363458156,1.0140141263116975,0.03585268499108135,-0.056353134985763595,0.0841868076773948,0.945205291890572,1.0878320902150793,0.0,0.3881672000096374,0.6978923044454765,0.5189236713893359
PRAME,0.03658008818279796,1.0372573727493708,0.02630522914391678,-0.01497721354435233,0.08813738990994825,0.9851343870683307,1.0921381604845966,0.0,1.390601388897511,0.1643463349579939,2.605188811252129
